Date,Group,Species,Count,x,y
11/17/18,Cracid,Spix's Guan,1,-75.69535464,-0.365266741
11/21/18,Mammal,Kinkajou,1,-75.69863828,-0.361043874
11/23/18,Cracid,Spix's Guan,1,-75.71880922,-0.332422218
11/24/18,Reptile,Tortoise,1,-75.69816919,-0.361043874
11/25/18,Bird,Great Tinamou,1,-75.7033292,-0.358697837
11/26/18,Rodent,Black Agouti,1,-75.69300918,-0.366674364
11/29/18,Mammal,Kinkajou,1,-75.70286011,-0.354474969
11/30/18,Cracid,Spix's Guan,2,-75.72209287,-0.330545388
11/13/18,Rodent,Lowland Paca,1,-75.71130376,-0.3375835
11/8/18,Armadillo,Nine-banded Armadillo,2,-75.6751837,-0.352598139
11/28/18,Cracid,Salvin's Currasow,2,-75.77791478,-0.295354827
11/26/18,Cracid,Salvin's Currasow,1,-75.77791478,-0.292539582
11/25/18,Primate,Black-mantled Tamarin,1,-75.7145874,-0.347906065
11/21/18,Ungulates,White-lipped Peccary,2,-75.67096187,-0.351659724
11/27/18,Cracid,Salvin's Currasow,2,-75.64328546,-0.333360633
11/23/18,Rodent,Capibara,1,-75.69629282,-0.362451497
11/2/18,Primate,Howler Monkey,1,-75.78917298,-0.299577694
11/11/18,Rodent,Lowland Paca,1,-75.77134749,-0.301454524
11/14/18,Primate,Howler Monkey,2,-75.77416204,-0.300046901
11/4/18,Mammal,Kinkajou,1,-75.74572279,-0.292306278
11/16/18,Mammal,Kinkajou,2,-75.74179472,-0.307554221
11/15/18,Ungulates,White-lipped Peccary,2,-75.77181658,-0.32632252
11/14/18,Rodent,Lowland Paca,1,-75.78870389,-0.321161238
11/13/18,Cracid,Spix's Guan,1,-75.78026023,-0.309431051
11/11/18,Bird,Great Tinamou,1,-75.74085653,-0.306146599
11/12/18,Ungulates,Collared Peccary,1,-75.67377642,-0.379812173
11/15/18,Bird,Great Tinamou,1,-75.69957646,-0.363389912
11/8/18,Bird,Great Tinamou,1,-75.70942739,-0.353536554
11/24/18,Rodent,Lowland Paca,1,-75.68175098,-0.338521915
