"","Station","Camera","Species","DateTimeOriginal","Date","Time"
"178",7,"7B","Cebus albifrons",2018-07-18 15:48:57,2018-07-18,"15:48:57"
"179",30,"30B","Dicotyles tajacu",2018-07-18 16:52:04,2018-07-18,"16:52:04"
"180",8,"8B","Mazama gouazoubira",2018-07-18 18:00:20,2018-07-18,"18:00:20"
"181",21,"21A","Cuniculus paca",2018-07-18 23:31:02,2018-07-18,"23:31:02"
"182",21,"21A","Cuniculus paca",2018-07-19 00:09:37,2018-07-19,"0:09:37"
"183",21,"21A","Mazama americana",2018-07-19 02:19:03,2018-07-19,"2:19:03"
"184",22,"22A","Dasyprocta fuliginosa",2018-07-19 07:03:33,2018-07-19,"7:03:33"
"185",15,"15A","NA NA",2018-07-19 08:50:09,2018-07-19,"8:50:09"
"186",7,"7B","Dicotyles tajacu",2018-07-19 09:46:23,2018-07-19,"9:46:23"
"187",13,"13A","Psophia crepitans",2018-07-19 12:39:39,2018-07-19,"12:39:39"
"188",18,"18A","Dicotyles tajacu",2018-07-19 13:08:12,2018-07-19,"13:08:12"
"189",4,"4A","Mazama gouazoubira",2018-07-19 21:04:30,2018-07-19,"21:04:30"
"190",9,"9A","Tapirus terrestris",2018-07-19 21:18:40,2018-07-19,"21:18:40"
"191",4,"4A","Tapirus terrestris",2018-07-19 21:24:46,2018-07-19,"21:24:46"
"192",9,"9A","Tapirus terrestris",2018-07-19 22:45:35,2018-07-19,"22:45:35"
"193",9,"9A","Tapirus terrestris",2018-07-20 01:23:20,2018-07-20,"1:23:20"
"194",24,"24A","Cuniculus paca",2018-07-20 01:55:16,2018-07-20,"1:55:16"
"195",9,"9A","Tapirus terrestris",2018-07-20 02:59:54,2018-07-20,"2:59:54"
"196",13,"13A","Dasyprocta fuliginosa",2018-07-20 06:33:33,2018-07-20,"6:33:33"
"197",12,"12A","Mazama americana",2018-07-20 09:38:34,2018-07-20,"9:38:34"
"198",4,"4B","Dicotyles tajacu",2018-07-20 13:32:38,2018-07-20,"13:32:38"
"199",11,"11A","Mazama gouazoubira",2018-07-20 16:14:51,2018-07-20,"16:14:51"
"200",11,"11A","Mazama gouazoubira",2018-07-20 17:18:03,2018-07-20,"17:18:03"
"201",24,"24A","Mazama americana",2018-07-20 17:23:27,2018-07-20,"17:23:27"
"202",13,"13B","Dasyprocta fuliginosa",2018-07-20 17:29:32,2018-07-20,"17:29:32"
"203",1,"1B","Psophia crepitans",2018-07-20 17:55:05,2018-07-20,"17:55:05"
"204",30,"30B","Dicotyles tajacu",2018-07-20 18:01:16,2018-07-20,"18:01:16"
"205",30,"30B","Tayassu pecari",2018-07-20 18:07:10,2018-07-20,"18:07:10"
"206",8,"8B","NAN NAN",2018-07-20 19:59:25,2018-07-20,"19:59:25"
"207",9,"9B","Tapirus terrestris",2018-07-20 20:44:42,2018-07-20,"20:44:42"
"208",3,"3B","Cuniculus paca",2018-07-21 00:30:13,2018-07-21,"0:30:13"
"209",4,"4B","Tamandua tetradactyla",2018-07-21 03:27:37,2018-07-21,"3:27:37"
"210",9,"9A","Tapirus terrestris",2018-07-21 03:45:29,2018-07-21,"3:45:29"
"211",18,"18A","Mazama americana",2018-07-21 05:09:52,2018-07-21,"5:09:52"
"212",7,"7B","Mitu salvini",2018-07-21 06:07:12,2018-07-21,"6:07:12"
"213",18,"18A","Hadroscirus spadiceus",2018-07-21 07:51:01,2018-07-21,"7:51:01"
"214",7,"7A","Mitu salvini",2018-07-21 10:13:25,2018-07-21,"10:13:25"
"215",7,"7B","Nasua nasua",2018-07-21 10:22:05,2018-07-21,"10:22:05"
"216",13,"13A","Dasyprocta fuliginosa",2018-07-21 10:55:12,2018-07-21,"10:55:12"
"217",13,"13A","Psophia crepitans",2018-07-21 11:08:11,2018-07-21,"11:08:11"
